author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ИП Руднев О. И.;real_estate_agent;https://www.cian.ru/sale/flat/313807891/;Москва;sale;flat;4;12;1;40.2;16200000;Сокольники;Большой Матросский переулок;1;Электрозаводская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062293/;Москва;sale;flat;4;5;3;73.7;58944550;Мещанский;Большой Сергиевский переулок;18;Трубная;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062348/;Москва;sale;flat;14;20;3;132.5;125000000;Гагаринский; Косыгина;13к1;Воробьёвы горы;Фамильный дом Воробьево
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/303761024/;Москва;sale;flat;2;16;3;101.0;158700000;Раменки;Воробьевское шоссе;4;Поклонная;Воробьёв Дом
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/314491332/;Москва;sale;flat;5;9;2;42.0;14000000;Южное Тушино;Туристская ;6К3;Сходненская;
Beri;real_estate_agent;https://www.cian.ru/sale/flat/314637692/;Москва;sale;flat;3;8;3;68.3;59900000;Красносельский;Милютинский переулок;20/2С1;Тургеневская;
ID 233438;homeowner;https://www.cian.ru/sale/flat/315089385/;Москва;sale;flat;22;25;1;33.1;11500000;Люблино;Люблинская ;80к3;Перерва;Люблинский парк
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062327/;Москва;sale;flat;4;7;4;120.1;127000000;Пресненский;Тверской бульвар;19;Тверская;
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308837547/;Москва;sale;flat;5;10;1;40.4;28400000;Дорогомилово;Кутузовский проспект;30;Кутузовская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062363/;Москва;sale;flat;7;9;3;135.0;175000000;Замоскворечье; Бахрушина;13;Павелецкая;
Светлана Гура;realtor;https://www.cian.ru/sale/flat/315292583/;Москва;sale;flat;13;21;5;227.0;193000000;Пресненский;Мантулинская ;9к5;Москва-Сити;City Park
Beri;real_estate_agent;https://www.cian.ru/sale/flat/313288062/;Москва;sale;flat;12;25;2;54.9;24090000;Обручевский;Ленинский проспект;121/1К3;Тропарёво;
Est-a-Tet Агент;real_estate_agent;https://www.cian.ru/sale/flat/312941025/;Москва;sale;flat;3;28;3;105.3;48400000;Раменки;Винницкая ;8к3;Раменки;Настоящее
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/311541724/;Москва;sale;flat;12;19;4;102.1;50000000;Покровское-Стрешнево;Волоколамское шоссе;71/8к1;Спартак;Город на Реке Тушино-2018
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307151489/;Москва;sale;flat;4;5;4;100.5;44000000;Тверской;2-й Волконский переулок;12;Цветной бульвар;
Beri;real_estate_agent;https://www.cian.ru/sale/flat/314637868/;Москва;sale;flat;2;6;2;54.5;52000000;Тверской;Козицкий переулок;1А;Пушкинская;
Beri;real_estate_agent;https://www.cian.ru/sale/flat/311737958/;Москва;sale;flat;6;7;3;90.4;90400000;Арбат;Трубниковский переулок;26С1;Смоленская;
Time Property;real_estate_agent;https://www.cian.ru/sale/flat/307089602/;Москва;sale;flat;31;40;2;79.1;32000000;Ховрино; Дыбенко;38к1;Ховрино;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/312347509/;Москва;sale;flat;3;19;4;162.2;125000000;Раменки;Ломоносовский проспект;25к1;Университет;Dominion
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308806929/;Москва;sale;flat;2;4;3;133.9;150000000;Арбат; Малая Молчановка;6;Арбатская;
REPLACE;real_estate_agent;https://www.cian.ru/sale/flat/313600587/;Москва;sale;flat;7;7;4;133.0;175000000;Пресненский;Мантулинская ;9к1;Москва-Сити;City Park
СТРОЙИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/290829518/;Москва;sale;flat;17;26;2;63.8;13681772;Некрасовка; Липчанского;10;Некрасовка;Некрасовка
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305070032/;Москва;sale;flat;37;41;3;82.3;82500000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/314870825/;Москва;sale;flat;17;17;5;148.0;120000000;Даниловский;проспект Лихачева;10к1;Технопарк;Квартал на набережной NOW
СТРОЙИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/291395625/;Москва;sale;flat;24;26;1;39.9;10608395;Некрасовка; Липчанского;10;Некрасовка;Некрасовка
